Date,Start,High,Low,Close
105/05/06,8169.54,8170.68,8104.16,8146.43
105/05/09,8156.65,8177.36,8106.13,8131.83
105/05/10,8119.71,8168.13,8075.58,8156.29
105/05/11,8182.92,8204.51,8115.44,8135.56
105/05/12,8122.78,8162.44,8105.49,8108.05
105/05/13,8095.93,8095.93,7999.98,8053.69
105/05/16,8035.21,8091.48,8003.93,8067.6
105/05/17,8081.89,8151.2,8047.31,8140.48
105/05/18,8115.61,8159.68,8061.26,8159.68
105/05/19,8159.93,8166.96,8067.33,8095.98
105/05/20,8108.68,8165.98,8080.65,8131.26
105/05/23,8150.38,8356.96,8119.71,8344.44
105/05/24,8329.69,8354.62,8298.0,8300.66
105/05/25,8352.84,8417.27,8352.84,8396.2
105/05/26,8400.89,8410.74,8376.6,8394.12
105/05/27,8415.59,8463.61,8415.59,8463.61
105/05/30,8476.62,8563.4,8462.15,8535.87
105/05/31,8532.21,8545.73,8488.9,8535.59
105/06/01,8516.08,8603.63,8514.12,8597.16
105/06/02,8598.47,8635.03,8553.54,8556.02
105/06/03,8565.18,8601.05,8559.77,8587.36
105/06/04,8582.6,8594.35,8570.69,8591.57
105/06/06,8605.15,8664.12,8557.68,8597.11
105/06/07,8622.21,8692.73,8621.46,8679.9
105/06/08,8704.66,8754.82,8690.59,8715.48
105/06/13,8634.24,8634.24,8520.21,8536.22
105/06/14,8513.51,8577.31,8503.42,8576.12
105/06/15,8566.43,8608.29,8524.55,8606.37
105/06/16,8583.19,8584.67,8476.84,8494.14
105/06/17,8538.28,8607.16,8538.28,8568.08
105/06/20,8612.26,8642.15,8604.81,8625.92
105/06/21,8633.21,8684.85,8627.4,8684.85
105/06/22,8675.12,8716.25,8653.04,8716.25
105/06/23,8706.08,8711.21,8662.78,8676.68
105/06/24,8684.53,8691.3,8374.26,8476.99
105/06/27,8406.29,8468.66,8386.27,8458.87
105/06/28,8438.76,8505.51,8396.01,8505.51
105/06/29,8530.37,8609.23,8530.37,8586.56
105/06/30,8615.46,8666.58,8583.77,8666.58
105/07/01,8692.48,8755.62,8680.53,8738.24
105/07/04,8728.32,8782.38,8712.12,8760.58
105/07/05,8738.41,8747.06,8693.76,8716.07
105/07/06,8673.53,8673.53,8569.15,8575.75
